"(230, 190, 171, 255)","(227, 121, 166, 255)"
"(229, 199, 179, 255)","(214, 151, 147, 255)"
"(216, 168, 158, 255)","(202, 109, 127, 255)"
"(223, 200, 203, 255)","(203, 163, 181, 255)"
"(234, 192, 178, 255)","(231, 157, 150, 255)"
"(216, 190, 179, 255)","(206, 135, 164, 255)"
"(212, 141, 107, 255)","(185, 96, 87, 255)"
"(209, 174, 166, 255)","(174, 87, 91, 255)"
"(237, 209, 212, 255)","(223, 156, 168, 255)"
"(246, 208, 215, 255)","(244, 209, 210, 255)"
"(241, 199, 186, 255)","(247, 147, 162, 255)"
"(216, 176, 177, 255)","(217, 144, 167, 255)"
"(211, 132, 92, 255)","(172, 75, 67, 255)"
"(203, 172, 159, 255)","(207, 143, 159, 255)"
"(216, 181, 155, 255)","(218, 144, 139, 255)"
"(206, 168, 140, 255)","(218, 138, 163, 255)"
"(233, 212, 212, 255)","(221, 137, 155, 255)"
"(209, 180, 158, 255)","(207, 129, 151, 255)"
"(211, 168, 147, 255)","(188, 115, 111, 255)"
"(216, 183, 172, 255)","(207, 160, 167, 255)"
"(217, 174, 152, 255)","(194, 139, 127, 255)"
"(181, 132, 87, 255)","(174, 87, 65, 255)"
"(182, 145, 132, 255)","(167, 84, 88, 255)"
"(229, 195, 189, 255)","(226, 125, 160, 255)"
"(197, 167, 154, 255)","(194, 105, 112, 255)"
"(171, 129, 113, 255)","(150, 91, 94, 255)"
"(215, 186, 179, 255)","(202, 131, 160, 255)"
"(209, 179, 184, 255)","(185, 104, 124, 255)"
"(219, 161, 134, 255)","(213, 123, 119, 255)"
"(225, 190, 182, 255)","(203, 125, 130, 255)"
"(213, 172, 157, 255)","(194, 106, 126, 255)"
"(181, 139, 108, 255)","(168, 106, 101, 255)"
"(233, 193, 164, 255)","(225, 124, 121, 255)"
"(190, 158, 146, 255)","(221, 151, 185, 255)"
"(184, 134, 106, 255)","(187, 94, 86, 255)"
"(216, 167, 136, 255)","(199, 118, 98, 255)"
"(224, 201, 195, 255)","(220, 159, 176, 255)"
"(225, 179, 155, 255)","(230, 140, 163, 255)"
"(204, 159, 140, 255)","(199, 114, 111, 255)"
"(225, 190, 180, 255)","(214, 143, 148, 255)"
"(187, 136, 110, 255)","(189, 117, 108, 255)"
"(178, 159, 154, 255)","(180, 116, 149, 255)"
"(198, 171, 158, 255)","(188, 127, 132, 255)"
"(190, 158, 146, 255)","(221, 151, 185, 255)"
"(180, 147, 128, 255)","(152, 87, 89, 255)"
"(181, 148, 143, 255)","(172, 96, 124, 255)"
"(228, 209, 204, 255)","(220, 147, 166, 255)"
"(213, 181, 175, 255)","(209, 132, 148, 255)"
"(210, 182, 180, 255)","(208, 143, 181, 255)"
"(170, 144, 139, 255)","(170, 118, 120, 255)"
"(222, 193, 196, 255)","(221, 163, 185, 255)"
"(229, 186, 178, 255)","(231, 156, 173, 255)"
"(212, 189, 183, 255)","(203, 140, 156, 255)"
"(233, 197, 199, 255)","(218, 139, 154, 255)"
"(237, 184, 157, 255)","(235, 140, 126, 255)"
"(208, 148, 128, 255)","(182, 87, 85, 255)"
"(202, 178, 171, 255)","(196, 119, 124, 255)"
"(231, 207, 197, 255)","(220, 157, 156, 255)"
"(241, 211, 216, 255)","(236, 166, 183, 255)"
"(221, 173, 138, 255)","(217, 118, 125, 255)"
"(215, 176, 144, 255)","(201, 106, 101, 255)"
"(238, 210, 208, 255)","(234, 167, 196, 255)"
"(221, 138, 75, 255)","(185, 60, 27, 255)"
"(231, 190, 171, 255)","(215, 105, 152, 255)"
"(224, 167, 123, 255)","(188, 103, 85, 255)"
"(213, 179, 154, 255)","(201, 102, 110, 255)"
"(241, 212, 197, 255)","(234, 163, 156, 255)"
"(223, 157, 107, 255)","(225, 102, 57, 255)"
"(237, 204, 206, 255)","(235, 159, 173, 255)"
"(223, 196, 206, 255)","(216, 135, 166, 255)"
"(222, 173, 159, 255)","(218, 150, 152, 255)"
"(214, 186, 182, 255)","(205, 148, 166, 255)"
"(234, 212, 214, 255)","(230, 152, 177, 255)"
"(210, 171, 147, 255)","(206, 115, 129, 255)"
"(210, 187, 186, 255)","(212, 134, 154, 255)"
"(208, 179, 176, 255)","(203, 113, 126, 255)"
"(227, 192, 185, 255)","(210, 126, 154, 255)"
"(248, 207, 175, 255)","(244, 172, 148, 255)"
"(230, 201, 190, 255)","(223, 130, 142, 255)"
"(188, 135, 117, 255)","(179, 100, 99, 255)"
"(205, 183, 188, 255)","(193, 112, 132, 255)"
"(208, 158, 139, 255)","(209, 119, 127, 255)"
"(203, 177, 166, 255)","(199, 140, 167, 255)"
"(155, 105, 82, 255)","(143, 75, 69, 255)"
"(227, 186, 164, 255)","(222, 132, 138, 255)"
"(218, 175, 149, 255)","(189, 103, 96, 255)"
"(206, 163, 137, 255)","(188, 90, 96, 255)"
"(213, 180, 185, 255)","(188, 110, 129, 255)"
"(233, 211, 215, 255)","(227, 178, 214, 255)"
"(233, 201, 185, 255)","(204, 124, 117, 255)"
"(190, 160, 142, 255)","(192, 123, 129, 255)"
"(218, 178, 153, 255)","(213, 137, 136, 255)"
"(202, 167, 163, 255)","(182, 96, 110, 255)"
"(225, 199, 198, 255)","(218, 172, 187, 255)"
"(209, 178, 155, 255)","(215, 127, 154, 255)"
"(232, 196, 198, 255)","(215, 138, 149, 255)"
"(188, 150, 137, 255)","(175, 92, 86, 255)"
"(202, 166, 145, 255)","(188, 114, 122, 255)"
"(215, 179, 154, 255)","(207, 139, 126, 255)"
"(226, 196, 192, 255)","(225, 159, 188, 255)"
"(220, 171, 162, 255)","(208, 132, 139, 255)"
"(217, 195, 191, 255)","(208, 144, 155, 255)"
"(222, 197, 194, 255)","(207, 136, 157, 255)"
"(233, 201, 185, 255)","(204, 124, 117, 255)"
"(221, 164, 148, 255)","(201, 110, 113, 255)"
"(223, 193, 193, 255)","(215, 131, 156, 255)"
"(221, 186, 179, 255)","(231, 161, 186, 255)"
"(240, 201, 195, 255)","(237, 145, 192, 255)"
"(224, 176, 141, 255)","(218, 117, 99, 255)"
"(215, 179, 154, 255)","(207, 139, 126, 255)"
"(194, 138, 112, 255)","(179, 103, 91, 255)"
"(208, 179, 177, 255)","(202, 118, 135, 255)"
"(244, 164, 104, 255)","(221, 109, 66, 255)"
"(207, 179, 159, 255)","(200, 113, 133, 255)"
"(233, 200, 203, 255)","(224, 154, 185, 255)"
"(243, 200, 190, 255)","(249, 160, 177, 255)"
"(202, 173, 156, 255)","(199, 122, 151, 255)"
"(204, 159, 130, 255)","(204, 114, 109, 255)"
"(194, 171, 161, 255)","(180, 121, 130, 255)"
"(233, 211, 200, 255)","(219, 144, 178, 255)"
"(219, 161, 134, 255)","(213, 123, 119, 255)"
"(229, 181, 172, 255)","(217, 114, 109, 255)"
"(190, 161, 150, 255)","(178, 91, 100, 255)"
"(182, 147, 137, 255)","(167, 91, 93, 255)"
"(221, 186, 171, 255)","(201, 130, 133, 255)"
"(197, 166, 169, 255)","(189, 113, 127, 255)"
"(190, 129, 91, 255)","(173, 77, 76, 255)"
"(216, 167, 136, 255)","(199, 118, 98, 255)"
"(218, 192, 188, 255)","(216, 136, 154, 255)"
"(219, 162, 130, 255)","(219, 124, 117, 255)"
"(177, 139, 125, 255)","(189, 119, 134, 255)"
"(239, 202, 175, 255)","(228, 167, 153, 255)"
"(233, 200, 203, 255)","(224, 154, 185, 255)"
"(180, 144, 130, 255)","(196, 130, 153, 255)"
"(236, 201, 178, 255)","(220, 155, 146, 255)"
"(208, 151, 122, 255)","(208, 111, 109, 255)"
"(235, 195, 168, 255)","(225, 139, 120, 255)"
"(213, 162, 140, 255)","(207, 91, 105, 255)"
"(226, 182, 160, 255)","(236, 148, 169, 255)"
"(176, 117, 95, 255)","(178, 83, 83, 255)"
"(224, 196, 180, 255)","(215, 138, 153, 255)"
"(212, 182, 172, 255)","(204, 121, 130, 255)"
"(224, 183, 162, 255)","(231, 148, 166, 255)"
"(202, 156, 141, 255)","(180, 103, 106, 255)"
"(239, 214, 210, 255)","(230, 172, 191, 255)"
"(233, 213, 209, 255)","(225, 145, 173, 255)"
"(226, 204, 208, 255)","(220, 160, 199, 255)"
"(205, 177, 181, 255)","(192, 111, 133, 255)"
"(226, 185, 173, 255)","(211, 146, 147, 255)"
"(217, 165, 153, 255)","(202, 123, 130, 255)"
"(239, 202, 175, 255)","(228, 167, 153, 255)"
"(213, 179, 169, 255)","(201, 144, 165, 255)"
"(175, 147, 134, 255)","(150, 84, 88, 255)"
"(160, 119, 95, 255)","(155, 94, 88, 255)"
"(205, 178, 161, 255)","(226, 177, 165, 255)"
"(212, 169, 142, 255)","(198, 102, 111, 255)"
"(183, 146, 131, 255)","(168, 104, 111, 255)"
"(232, 194, 168, 255)","(212, 153, 147, 255)"
"(221, 189, 176, 255)","(199, 139, 140, 255)"
"(201, 175, 167, 255)","(194, 125, 131, 255)"
"(224, 179, 165, 255)","(215, 148, 152, 255)"
"(176, 137, 124, 255)","(182, 100, 94, 255)"
"(235, 200, 201, 255)","(214, 140, 155, 255)"
"(195, 176, 168, 255)","(184, 120, 144, 255)"
"(226, 192, 194, 255)","(219, 150, 163, 255)"
"(233, 184, 152, 255)","(239, 131, 113, 255)"
"(208, 168, 155, 255)","(189, 120, 125, 255)"
"(203, 169, 160, 255)","(194, 145, 152, 255)"
"(220, 170, 155, 255)","(215, 105, 106, 255)"
"(163, 112, 95, 255)","(154, 76, 76, 255)"
"(179, 141, 135, 255)","(178, 121, 143, 255)"
"(221, 170, 151, 255)","(210, 131, 134, 255)"
"(235, 203, 193, 255)","(230, 168, 164, 255)"
"(224, 190, 179, 255)","(217, 135, 147, 255)"
"(223, 181, 174, 255)","(220, 143, 157, 255)"
"(223, 190, 180, 255)","(217, 151, 151, 255)"
"(225, 187, 167, 255)","(226, 146, 176, 255)"
"(193, 148, 123, 255)","(201, 116, 132, 255)"
"(229, 182, 166, 255)","(208, 128, 128, 255)"
"(181, 156, 129, 255)","(203, 132, 150, 255)"
"(224, 190, 192, 255)","(211, 143, 157, 255)"
"(213, 154, 128, 255)","(200, 116, 105, 255)"
"(235, 213, 205, 255)","(235, 145, 179, 255)"
"(215, 180, 166, 255)","(210, 127, 122, 255)"
"(224, 169, 134, 255)","(223, 117, 100, 255)"
"(220, 171, 162, 255)","(208, 132, 139, 255)"
"(175, 149, 153, 255)","(144, 97, 125, 255)"
"(227, 150, 108, 255)","(183, 90, 74, 255)"
"(196, 170, 160, 255)","(176, 121, 126, 255)"
"(188, 161, 152, 255)","(172, 124, 131, 255)"
"(219, 187, 179, 255)","(204, 121, 151, 255)"
"(233, 201, 190, 255)","(220, 132, 156, 255)"
"(152, 109, 95, 255)","(138, 78, 79, 255)"
"(224, 167, 123, 255)","(188, 103, 85, 255)"
"(219, 192, 196, 255)","(200, 126, 146, 255)"
"(225, 203, 202, 255)","(219, 136, 158, 255)"
"(224, 203, 203, 255)","(229, 157, 182, 255)"
"(192, 156, 138, 255)","(177, 116, 118, 255)"
"(229, 191, 174, 255)","(238, 146, 168, 255)"
"(203, 158, 143, 255)","(201, 120, 125, 255)"
"(203, 158, 143, 255)","(201, 120, 125, 255)"
"(248, 207, 175, 255)","(244, 172, 148, 255)"
"(215, 177, 159, 255)","(202, 128, 119, 255)"
"(227, 192, 159, 255)","(222, 150, 157, 255)"
"(202, 148, 89, 255)","(177, 81, 53, 255)"
"(198, 158, 141, 255)","(198, 126, 123, 255)"
"(232, 197, 178, 255)","(227, 131, 138, 255)"
"(226, 203, 201, 255)","(224, 146, 169, 255)"
"(165, 115, 97, 255)","(173, 92, 110, 255)"
"(210, 161, 145, 255)","(193, 106, 124, 255)"
"(185, 151, 135, 255)","(180, 89, 96, 255)"
"(214, 182, 177, 255)","(210, 127, 146, 255)"
"(237, 210, 199, 255)","(224, 135, 151, 255)"
"(216, 167, 140, 255)","(201, 104, 115, 255)"
"(227, 192, 159, 255)","(222, 150, 157, 255)"
"(244, 226, 218, 255)","(237, 191, 214, 255)"
"(213, 162, 140, 255)","(207, 91, 105, 255)"
"(192, 165, 155, 255)","(176, 128, 134, 255)"
"(182, 155, 150, 255)","(170, 110, 113, 255)"
"(200, 155, 154, 255)","(209, 137, 159, 255)"
"(242, 168, 117, 255)","(217, 115, 93, 255)"
"(230, 200, 192, 255)","(227, 160, 176, 255)"
"(132, 97, 93, 255)","(123, 64, 70, 255)"
"(163, 129, 121, 255)","(170, 91, 94, 255)"
"(230, 195, 195, 255)","(218, 138, 150, 255)"
"(210, 184, 166, 255)","(199, 121, 117, 255)"
"(203, 175, 157, 255)","(182, 131, 131, 255)"
"(224, 183, 165, 255)","(223, 143, 163, 255)"
"(178, 145, 125, 255)","(154, 110, 105, 255)"
"(214, 189, 184, 255)","(192, 140, 146, 255)"
"(241, 204, 189, 255)","(226, 142, 139, 255)"
"(221, 182, 174, 255)","(218, 146, 160, 255)"
"(241, 213, 201, 255)","(239, 175, 184, 255)"
"(231, 190, 145, 255)","(234, 135, 117, 255)"
"(191, 166, 154, 255)","(184, 125, 134, 255)"
"(213, 185, 179, 255)","(197, 111, 125, 255)"
"(211, 168, 147, 255)","(188, 115, 111, 255)"
"(206, 194, 187, 255)","(200, 112, 135, 255)"
"(228, 197, 177, 255)","(224, 148, 156, 255)"
"(186, 129, 103, 255)","(180, 88, 82, 255)"
"(235, 213, 205, 255)","(235, 145, 179, 255)"
"(235, 203, 193, 255)","(230, 168, 164, 255)"
"(222, 200, 198, 255)","(223, 143, 139, 255)"
"(215, 177, 159, 255)","(202, 128, 119, 255)"
"(226, 203, 204, 255)","(208, 161, 172, 255)"
"(239, 173, 128, 255)","(228, 136, 109, 255)"
"(213, 175, 150, 255)","(191, 100, 103, 255)"
"(203, 172, 159, 255)","(207, 143, 159, 255)"
"(197, 192, 188, 255)","(180, 138, 158, 255)"
"(208, 161, 117, 255)","(188, 123, 105, 255)"
"(215, 175, 157, 255)","(202, 113, 126, 255)"
"(182, 158, 152, 255)","(189, 122, 147, 255)"
"(178, 142, 124, 255)","(194, 115, 98, 255)"
"(214, 186, 182, 255)","(205, 148, 166, 255)"
"(218, 195, 186, 255)","(165, 103, 110, 255)"
"(207, 172, 155, 255)","(188, 133, 129, 255)"
"(214, 182, 179, 255)","(210, 135, 149, 255)"
"(232, 202, 173, 255)","(224, 166, 148, 255)"
"(223, 191, 187, 255)","(219, 137, 158, 255)"
"(198, 171, 158, 255)","(188, 127, 132, 255)"
"(163, 112, 95, 255)","(154, 76, 76, 255)"
"(220, 173, 163, 255)","(213, 131, 147, 255)"
"(222, 198, 192, 255)","(213, 146, 165, 255)"
"(219, 192, 189, 255)","(204, 131, 148, 255)"
"(231, 207, 197, 255)","(220, 157, 156, 255)"
"(220, 173, 159, 255)","(207, 94, 98, 255)"
"(216, 197, 203, 255)","(219, 142, 173, 255)"
"(228, 166, 132, 255)","(223, 115, 130, 255)"
"(203, 163, 147, 255)","(190, 114, 127, 255)"
"(235, 204, 187, 255)","(231, 165, 152, 255)"
"(193, 147, 129, 255)","(201, 99, 79, 255)"
"(217, 186, 175, 255)","(214, 155, 159, 255)"
"(198, 179, 166, 255)","(178, 120, 133, 255)"
"(216, 190, 172, 255)","(212, 156, 171, 255)"
"(218, 182, 183, 255)","(211, 112, 133, 255)"
"(217, 196, 187, 255)","(217, 148, 169, 255)"
"(219, 190, 182, 255)","(181, 122, 125, 255)"
"(228, 195, 179, 255)","(225, 133, 143, 255)"
"(246, 206, 180, 255)","(236, 160, 150, 255)"
"(218, 194, 195, 255)","(196, 143, 157, 255)"
"(220, 178, 169, 255)","(200, 123, 128, 255)"
"(246, 201, 179, 255)","(236, 160, 148, 255)"
"(201, 173, 156, 255)","(186, 125, 137, 255)"
"(219, 192, 189, 255)","(204, 131, 148, 255)"
"(222, 183, 162, 255)","(192, 132, 125, 255)"
"(219, 198, 186, 255)","(230, 125, 136, 255)"
"(210, 171, 161, 255)","(203, 111, 143, 255)"
"(202, 174, 186, 255)","(192, 101, 142, 255)"
"(212, 170, 145, 255)","(188, 100, 101, 255)"
"(232, 198, 185, 255)","(228, 129, 136, 255)"
"(223, 190, 180, 255)","(217, 151, 151, 255)"
"(212, 199, 215, 255)","(221, 162, 213, 255)"
"(208, 179, 177, 255)","(202, 118, 135, 255)"
"(163, 134, 117, 255)","(175, 115, 112, 255)"
"(228, 198, 190, 255)","(212, 132, 145, 255)"
"(196, 152, 125, 255)","(191, 94, 112, 255)"
"(210, 206, 220, 255)","(223, 126, 191, 255)"
"(206, 153, 95, 255)","(193, 104, 76, 255)"
"(208, 179, 176, 255)","(203, 113, 126, 255)"
"(186, 147, 122, 255)","(162, 92, 86, 255)"
"(204, 176, 172, 255)","(195, 122, 135, 255)"
"(209, 188, 182, 255)","(199, 146, 157, 255)"
"(194, 166, 159, 255)","(180, 114, 126, 255)"
"(165, 115, 96, 255)","(154, 75, 73, 255)"
"(198, 165, 159, 255)","(186, 127, 136, 255)"
"(197, 167, 165, 255)","(172, 111, 120, 255)"
"(211, 166, 136, 255)","(217, 129, 148, 255)"
"(224, 188, 182, 255)","(216, 133, 150, 255)"
"(204, 157, 147, 255)","(191, 106, 132, 255)"
"(194, 158, 154, 255)","(181, 129, 141, 255)"
"(231, 211, 206, 255)","(223, 148, 155, 255)"
"(216, 194, 179, 255)","(199, 132, 149, 255)"
"(234, 208, 212, 255)","(239, 123, 205, 255)"
"(221, 195, 206, 255)","(191, 105, 150, 255)"
"(222, 198, 192, 255)","(213, 146, 165, 255)"
"(219, 195, 196, 255)","(180, 131, 144, 255)"
"(222, 191, 201, 255)","(222, 105, 195, 255)"
"(216, 185, 175, 255)","(180, 116, 119, 255)"
"(199, 162, 143, 255)","(191, 105, 113, 255)"
"(201, 169, 156, 255)","(192, 120, 134, 255)"
"(209, 173, 156, 255)","(192, 117, 133, 255)"
"(245, 173, 119, 255)","(228, 133, 98, 255)"
"(221, 186, 171, 255)","(201, 130, 133, 255)"
"(234, 186, 166, 255)","(238, 131, 105, 255)"
"(205, 153, 112, 255)","(187, 94, 79, 255)"
"(227, 191, 184, 255)","(222, 126, 115, 255)"
"(191, 159, 139, 255)","(188, 99, 101, 255)"
"(208, 168, 156, 255)","(235, 166, 195, 255)"
"(215, 180, 157, 255)","(186, 113, 108, 255)"
"(214, 181, 160, 255)","(208, 109, 112, 255)"
"(218, 190, 178, 255)","(209, 131, 140, 255)"
"(190, 146, 118, 255)","(159, 54, 45, 255)"
"(185, 167, 166, 255)","(181, 130, 154, 255)"
"(195, 162, 138, 255)","(181, 127, 119, 255)"
"(196, 153, 128, 255)","(186, 97, 92, 255)"
"(223, 200, 197, 255)","(223, 142, 166, 255)"
"(210, 183, 161, 255)","(206, 110, 116, 255)"
"(208, 180, 174, 255)","(203, 147, 161, 255)"
